cvss,asset_criticality,internet_exposed,exploit_available,data_sensitivity,security_control_strength,patch_age_days,incident
2.1,4,0,0,7,6,87,0
6.7,5,0,0,2,4,115,0
7.2,3,0,1,6,2,5,1
9.4,7,1,0,7,7,22,1
4.8,3,1,0,3,1,78,0
4.4,7,1,0,5,7,17,0
5.4,9,0,0,9,1,48,0
6.4,8,1,1,9,6,49,1
4.2,1,1,0,1,5,7,0
4.9,10,0,1,2,4,84,0
3.9,9,0,1,4,10,108,0
9.5,3,0,0,6,6,116,0
6.7,6,0,0,4,8,69,0
2.7,4,0,0,8,1,42,0
9.3,4,0,0,3,6,7,0
9.3,2,1,1,6,7,75,1
2.8,5,1,0,3,7,101,0
4.5,9,1,0,10,3,48,0
4.5,5,0,0,1,10,50,0
6.5,3,1,1,10,4,81,1
6.5,8,0,0,2,4,44,0
9.1,2,1,0,5,4,31,0
7.5,6,1,1,1,1,49,1
3.3,7,1,1,6,9,48,1
2.8,8,0,0,2,1,37,0
2.8,6,0,1,3,2,70,0
9.5,2,1,0,10,8,90,1
3.3,7,0,0,6,4,24,0
5.3,9,1,0,5,4,12,1
8.7,3,0,0,7,2,37,0
8.6,10,1,0,1,4,21,0
5.8,2,1,1,8,8,114,0
7.3,2,1,0,7,6,23,0
5.7,4,1,0,3,2,10,0
7.3,9,1,1,10,4,70,1
6.2,9,1,0,4,8,38,0
2.6,1,0,0,8,3,21,0
3.0,7,0,1,7,4,105,0
7.0,10,1,0,2,2,49,1
8.9,9,1,1,1,10,75,1
6.2,7,0,0,3,10,75,0
2.8,2,0,1,9,6,112,0
5.3,7,1,0,8,1,22,1
6.9,7,0,0,6,4,6,0
8.0,5,1,0,5,5,35,1
7.5,4,0,0,8,6,34,0
7.8,10,0,0,4,7,94,0
5.0,1,0,0,9,7,17,0
8.2,9,0,0,4,1,31,1
4.9,4,1,0,8,9,50,0
7.1,2,0,0,8,10,57,0
6.7,6,1,0,5,2,36,1
2.2,1,0,1,4,4,82,0
7.2,9,0,1,1,8,116,1
3.1,3,0,0,10,5,91,0
5.4,7,1,0,4,8,38,0
7.4,10,1,0,1,9,84,1
6.5,10,1,0,2,8,8,0
4.7,5,1,1,5,5,24,1
9.2,10,1,0,3,1,83,1
6.0,5,1,1,7,7,94,1
6.6,4,1,1,4,9,81,1
8.3,6,1,1,9,3,37,1
4.1,9,0,1,6,2,28,1
4.8,5,1,1,6,6,33,0
2.9,1,0,0,4,9,15,0
8.9,7,1,0,3,3,25,0
9.1,8,0,0,3,2,62,1
4.7,3,1,0,1,8,35,0
6.6,3,1,1,2,3,78,1
5.5,7,1,0,8,7,0,0
5.0,1,1,1,9,4,2,1
7.4,4,0,0,6,5,16,0
4.4,2,0,0,5,8,93,0
6.2,9,1,0,3,6,115,0
3.3,7,0,0,3,4,93,0
2.2,9,0,0,1,7,112,0
7.0,10,0,0,1,1,88,0
2.9,8,1,0,5,8,89,0
7.0,5,1,0,9,5,79,1
6.8,3,1,1,2,9,92,0
8.3,8,0,0,5,9,25,0
4.9,7,1,0,9,8,116,1
4.6,1,0,0,2,10,85,0
6.0,2,0,1,2,5,82,0
4.4,8,0,0,3,1,109,1
4.3,6,1,1,2,1,1,1
3.4,6,1,1,5,2,47,0
8.5,3,0,0,8,5,106,0
8.4,3,0,0,1,3,13,0
5.3,10,1,1,8,3,78,1
2.2,3,1,1,2,7,56,0
2.4,5,1,0,9,10,92,0
7.4,6,0,0,4,8,44,0
7.3,7,0,1,9,10,6,1
6.0,8,1,1,2,8,41,1
3.9,5,0,0,9,7,51,0
5.6,10,1,0,8,8,40,0
2.9,8,0,0,7,1,71,0
8.3,10,1,1,9,4,83,1
7.4,6,1,1,4,8,42,1
5.8,6,1,0,4,1,43,0
4.8,5,1,0,1,3,63,0
7.8,2,1,0,4,2,119,1
8.8,4,1,1,4,6,13,1
7.1,10,0,1,8,8,84,1
6.7,9,0,1,1,9,94,1
8.7,8,0,0,3,3,13,0
5.1,10,1,0,7,7,77,1
4.2,6,1,0,3,3,52,0
6.8,9,1,1,9,6,91,1
3.7,4,1,0,3,3,64,0
6.3,6,0,1,9,8,74,0
5.3,9,1,1,7,1,66,1
2.9,7,0,0,1,4,34,0
4.3,5,0,1,5,4,96,0
6.3,6,1,0,9,4,95,1
6.1,5,0,1,7,7,100,0
9.8,6,0,0,5,4,79,1
5.5,4,1,1,9,10,25,0
8.2,4,1,0,2,3,22,0
2.3,5,1,0,10,5,0,0
4.6,3,0,0,6,10,6,0
8.7,5,1,1,9,6,9,1
8.3,6,0,1,9,2,100,1
6.3,2,1,0,4,6,42,0
4.9,4,1,1,1,2,85,1
7.1,10,0,1,6,7,117,1
8.4,2,1,0,5,1,116,0
6.1,9,1,0,5,4,41,1
6.1,2,0,1,9,9,0,0
7.0,4,1,1,4,9,106,1
7.6,7,0,1,3,1,58,1
2.6,3,1,0,10,4,116,0
4.1,7,1,0,7,6,2,0
2.0,10,0,1,10,1,89,1
8.8,6,0,0,5,10,11,0
5.1,1,1,0,4,3,95,1
5.1,9,1,1,3,5,86,1
8.9,6,0,0,9,3,15,0
2.3,10,1,0,2,5,26,0
4.8,7,0,0,4,10,106,0
4.0,2,0,0,10,1,108,0
6.4,9,0,0,2,5,12,0
3.6,10,1,1,6,3,85,1
7.0,4,1,0,6,10,84,0
4.4,10,0,0,6,6,54,0
8.3,7,1,1,3,6,112,1
5.8,8,1,1,8,9,13,1
8.7,3,0,0,2,2,114,1
2.1,9,0,1,10,7,98,0
6.4,9,1,0,3,6,50,0
3.8,10,1,0,9,9,11,0
7.3,10,0,1,3,8,20,1
3.4,10,0,1,8,6,5,0
2.5,6,0,0,4,9,116,0
8.3,7,1,1,1,1,83,1
6.2,5,1,0,10,3,48,1
7.2,6,0,0,7,4,66,0
4.8,8,0,0,3,8,21,0
3.8,9,1,0,3,3,46,0
7.3,7,1,1,8,8,61,1
3.7,3,1,0,1,3,73,0
6.1,10,0,0,5,3,66,0
9.7,10,0,1,5,2,27,1
8.9,3,0,1,10,3,101,1
6.7,3,1,0,6,8,76,0
5.1,2,0,0,9,7,105,0
3.2,2,0,0,10,10,4,0
8.0,2,1,0,10,9,105,0
2.0,7,1,0,1,9,54,0
8.3,7,1,0,10,2,54,1
3.1,8,0,1,2,5,76,0
3.5,1,0,0,7,4,88,0
8.4,7,1,0,7,10,32,0
6.5,10,1,1,7,4,52,1
6.4,9,1,0,9,9,61,1
4.8,7,0,1,2,4,57,1
8.3,3,0,0,7,6,102,0
7.7,3,1,1,1,2,105,1
3.2,10,1,0,5,4,47,0
5.1,7,1,0,10,1,99,1
8.6,8,1,0,9,5,24,1
6.1,4,0,0,6,4,83,0
2.0,3,0,1,7,6,85,0
6.1,2,0,0,9,10,44,0
4.8,5,0,0,4,8,119,0
3.4,9,0,0,9,5,43,0
9.6,9,1,1,10,5,88,1
5.9,4,1,1,8,8,114,1
6.7,1,1,0,2,7,81,0
7.6,6,1,1,9,9,1,1
7.6,5,0,0,7,6,9,0
4.5,4,1,0,4,8,94,0
3.6,4,1,0,4,4,107,0
2.9,2,1,0,9,1,108,0
5.9,10,1,0,10,5,62,1
6.1,7,0,1,3,1,67,1
8.4,8,0,0,7,3,58,1
5.7,1,0,0,7,10,12,0
4.6,10,1,0,5,4,34,0
4.9,8,1,0,6,6,109,1
5.2,8,0,0,10,4,104,0
3.9,7,1,0,3,8,103,0
2.1,7,1,0,9,9,92,0
4.0,10,0,0,3,1,27,0
8.5,8,0,0,6,5,46,0
8.5,6,0,0,6,10,25,0
6.6,9,0,1,5,6,41,0
7.9,2,1,0,8,3,111,0
3.3,6,1,0,10,7,108,0
4.7,6,1,0,5,10,82,0
5.2,8,1,1,9,8,52,1
3.0,4,1,1,2,4,21,1
5.2,2,0,1,8,9,6,0
8.1,2,0,0,3,2,83,0
9.5,7,1,0,5,8,80,1
3.4,1,1,1,6,8,59,0
9.8,9,1,0,3,9,22,0
8.0,10,1,0,9,5,116,1
4.8,9,0,1,8,5,46,0
2.1,9,0,0,8,9,1,0
7.5,8,1,0,7,5,76,1
5.0,7,1,0,3,7,106,0
5.0,5,0,0,4,9,97,0
7.6,5,1,0,9,5,52,0
3.5,2,0,0,2,8,79,0
5.9,6,0,0,9,1,23,0
9.8,5,1,0,8,1,29,1
3.7,7,1,1,8,6,59,1
7.6,1,1,0,3,1,34,0
5.8,4,1,1,1,2,98,1
7.7,7,1,0,1,4,58,1
7.3,4,1,0,5,6,20,0
7.0,1,0,0,5,4,46,0
3.7,2,0,0,6,1,21,0
8.4,10,0,0,4,1,5,0
7.5,3,1,1,4,3,63,1
2.7,10,1,1,1,1,45,1
8.3,3,1,0,9,6,103,0
9.1,4,0,0,6,3,32,0
5.5,5,1,0,3,9,44,0
4.6,8,1,1,10,9,20,1
4.4,5,1,0,9,7,93,0
3.5,1,1,1,4,6,92,1
8.6,4,1,1,3,10,36,1
4.6,6,0,0,2,1,106,0
2.3,2,1,0,1,10,82,0
8.7,8,1,0,4,10,91,1
3.7,8,0,0,1,6,71,0
7.9,7,1,1,1,10,34,0
8.7,2,0,1,2,2,92,1
3.8,7,0,0,4,10,80,0
6.5,2,1,0,7,2,21,0
8.3,9,1,0,3,9,76,0
4.5,6,1,0,7,6,77,0
3.9,9,0,0,9,5,46,0
5.2,1,1,0,9,3,113,0
4.4,5,0,0,6,1,98,0
4.2,9,0,0,8,6,19,0
3.1,6,0,0,5,2,73,0
7.9,6,1,0,10,2,76,1
7.1,1,1,0,1,6,44,0
9.4,2,0,1,10,1,81,1
8.2,7,0,0,1,6,69,0
7.6,3,0,0,7,8,96,0
6.8,9,0,0,5,7,18,0
6.6,1,1,0,7,9,55,0
8.2,3,0,0,4,8,50,0
6.9,9,0,0,5,7,41,0
7.5,10,0,0,7,7,46,0
6.8,1,1,0,6,10,105,0
9.9,8,0,0,4,4,87,0
8.8,2,0,0,10,3,111,1
8.7,5,0,0,2,5,57,0
7.9,4,0,0,5,9,61,0
7.0,3,0,0,9,1,32,0
8.3,10,1,0,1,2,49,1
7.3,6,0,0,7,4,48,0
9.2,8,0,0,9,8,71,0
9.4,1,0,0,9,5,42,0
2.1,6,1,0,4,9,35,0
8.5,5,1,1,1,9,35,1
5.1,3,0,1,9,10,111,0
7.0,4,1,0,3,7,39,0
6.3,4,0,0,4,3,39,0
7.5,9,0,0,3,10,117,0
6.3,2,0,0,3,1,97,0
4.5,7,1,0,5,3,99,1
2.2,10,1,0,10,4,76,1
3.9,1,1,0,8,3,64,0
7.2,3,1,0,3,3,24,0
3.8,7,0,1,7,4,95,0
3.6,3,1,1,8,6,110,1
5.7,4,1,0,1,10,94,0
5.2,10,0,0,8,8,105,0
9.0,4,1,1,1,9,49,0
2.4,5,1,0,5,5,59,0
3.3,5,0,0,3,8,106,0
6.0,3,0,0,6,8,3,0
3.4,10,0,1,2,5,41,0
8.4,2,0,0,8,6,10,0
6.2,7,0,0,7,1,98,1
9.0,3,0,1,3,1,53,1
4.5,8,1,0,2,3,25,1
2.1,8,1,0,1,10,112,0
5.9,4,1,0,8,2,76,0
6.4,10,0,0,3,1,83,0
4.8,3,0,0,10,5,42,0
5.3,3,0,0,10,10,73,0
8.3,3,1,1,6,1,11,1
9.2,2,1,1,2,5,60,1
3.1,5,1,0,9,4,89,0
6.6,9,0,0,10,5,54,0
6.9,6,1,0,10,6,118,1
6.2,8,1,1,10,4,90,1
4.3,4,0,0,8,2,94,0
10.0,7,0,0,9,4,1,0
7.1,5,1,1,5,5,64,1
2.9,6,1,0,10,10,3,0
8.7,4,1,1,8,8,102,1
3.2,8,1,0,7,1,106,1
6.2,10,1,0,1,4,73,0
9.1,6,0,1,5,1,43,1
9.9,9,0,0,7,3,76,1
4.5,6,0,0,2,8,112,0
3.9,8,1,0,5,3,14,0
3.6,2,1,0,8,9,19,0
3.5,8,1,1,3,2,105,1
9.9,4,0,0,9,2,0,0
4.5,1,0,0,1,2,66,0
2.2,5,0,0,4,5,35,0
6.3,8,0,0,3,5,14,0
6.1,4,1,0,5,3,120,1
7.6,5,0,0,5,10,114,0
3.0,8,0,0,1,2,54,0
5.1,10,1,0,5,6,104,1
8.5,2,1,0,2,8,12,0
5.6,8,1,0,4,3,110,1
4.9,3,1,1,6,8,62,0
2.2,8,0,0,8,3,36,0
3.0,2,1,1,2,6,71,0
7.2,5,1,0,7,4,79,1
5.9,2,1,0,10,7,100,0
9.8,10,1,0,4,3,84,1
7.7,8,0,0,8,6,71,0
2.8,8,0,0,7,2,76,0
8.2,7,1,0,1,2,27,1
8.5,10,0,1,3,8,68,1
5.6,4,1,0,5,7,91,1
9.9,6,0,0,10,9,51,1
2.5,9,0,0,9,6,14,0
8.9,1,0,0,10,7,80,0
5.1,9,0,0,8,3,24,0
6.4,6,1,0,3,3,1,0
7.8,8,1,1,3,2,17,1
7.1,7,1,1,10,7,79,1
6.4,8,1,0,3,7,77,1
2.1,8,0,0,5,7,118,0
9.8,10,1,0,2,10,61,1
9.7,2,0,1,9,5,59,1
6.9,4,1,0,2,9,102,0
6.6,10,0,1,9,1,60,1
6.6,6,1,0,5,5,21,1
